Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
RPL35A,9.0,30.0,10.0,14.0,12.0,15.0,19.0,14.0,36.0,6.0,13.0,12.0,9.0,14.0,26.0,181.0
RPL36,19.0,18.0,12.0,20.0,17.0,34.0,40.0,33.0,53.0,6.0,26.0,23.0,23.0,21.0,24.0,272.0
RPL37,12.0,1.0,14.0,20.0,6.0,15.0,22.0,20.0,26.0,10.0,14.0,18.0,14.0,12.0,14.0,163.0
RPL39,40.0,19.0,26.0,31.0,26.0,46.0,25.0,20.0,27.0,3.0,24.0,39.0,25.0,19.0,32.0,306.0
RPL4,24.0,12.0,6.0,13.0,14.0,19.0,8.0,9.0,40.0,10.0,10.0,7.0,10.0,15.0,19.0,166.0
RPL5,10.0,8.0,7.0,5.0,7.0,15.0,12.0,15.0,28.0,2.0,12.0,24.0,7.0,10.0,12.0,126.0
RPN1,9.0,9.0,7.0,22.0,3.0,13.0,31.0,12.0,22.0,32.0,26.0,34.0,24.0,6.0,7.0,184.0
RPS12,12.0,17.0,16.0,22.0,13.0,32.0,12.0,18.0,21.0,30.0,52.0,30.0,17.0,9.0,12.0,222.0
RPS16,34.0,42.0,36.0,36.0,16.0,44.0,37.0,40.0,38.0,54.0,48.0,67.0,43.0,25.0,37.0,453.0
RPS24,35.0,30.0,32.0,36.0,29.0,41.0,29.0,40.0,75.0,43.0,47.0,51.0,25.0,26.0,30.0,462.0
RPS4X,15.0,11.0,17.0,23.0,4.0,12.0,13.0,24.0,11.0,7.0,17.0,20.0,22.0,7.0,10.0,168.0
RPS6,37.0,34.0,35.0,26.0,17.0,21.0,36.0,30.0,37.0,45.0,39.0,51.0,32.0,10.0,27.0,381.0
RPS8,17.0,6.0,25.0,6.0,10.0,11.0,10.0,27.0,21.0,14.0,15.0,37.0,14.0,10.0,11.0,186.0
RRAGC,71.0,47.0,55.0,64.0,34.0,53.0,50.0,49.0,74.0,62.0,90.0,62.0,45.0,58.0,71.0,672.0
RSU1,173.0,140.0,96.0,154.0,79.0,117.0,112.0,105.0,160.0,93.0,135.0,171.0,152.0,77.0,107.0,1554.0
SAP130,53.0,24.0,19.0,22.0,15.0,28.0,23.0,31.0,24.0,23.0,25.0,46.0,18.0,34.0,21.0,292.0
SART1,11.0,5.0,27.0,5.0,1.0,6.0,5.0,24.0,17.0,10.0,5.0,9.0,6.0,9.0,10.0,113.0
SCNM1,15.0,19.0,28.0,18.0,9.0,25.0,21.0,21.0,21.0,50.0,77.0,19.0,23.0,11.0,7.0,249.0
SCO1,5.0,15.0,29.0,19.0,7.0,10.0,23.0,15.0,36.0,43.0,20.0,25.0,14.0,13.0,20.0,225.0
SDHB,79.0,118.0,53.0,75.0,57.0,69.0,98.0,51.0,123.0,71.0,101.0,102.0,64.0,89.0,73.0,907.0
SDHD,43.0,99.0,28.0,34.0,31.0,33.0,63.0,32.0,85.0,56.0,61.0,59.0,20.0,65.0,44.0,532.0
SEC11A,89.0,59.0,59.0,73.0,50.0,64.0,66.0,58.0,111.0,62.0,89.0,90.0,56.0,61.0,65.0,821.0
SEPHS2,11.0,40.0,32.0,12.0,4.0,17.0,18.0,18.0,21.0,7.0,72.0,26.0,6.0,9.0,7.0,192.0
SETDB1,34.0,97.0,91.0,61.0,45.0,71.0,55.0,62.0,119.0,69.0,76.0,63.0,43.0,52.0,46.0,687.0
SF3B3,33.0,8.0,14.0,7.0,4.0,7.0,8.0,10.0,23.0,11.0,8.0,18.0,18.0,6.0,7.0,154.0
SF3B4,43.0,21.0,21.0,25.0,14.0,16.0,22.0,8.0,34.0,29.0,67.0,19.0,34.0,16.0,21.0,275.0
SFPQ,10.0,18.0,40.0,23.0,14.0,24.0,15.0,19.0,20.0,6.0,23.0,17.0,20.0,16.0,17.0,216.0
SH3BP4,82.0,61.0,63.0,74.0,49.0,63.0,65.0,64.0,112.0,48.0,53.0,96.0,56.0,65.0,83.0,856.0
SHOC2,82.0,28.0,41.0,72.0,53.0,53.0,79.0,41.0,101.0,25.0,47.0,91.0,60.0,60.0,78.0,745.0
SLC25A6,10.0,9.0,8.0,9.0,6.0,8.0,7.0,6.0,93.0,5.0,6.0,14.0,18.0,9.0,23.0,154.0
SLC27A2,18.0,14.0,35.0,22.0,5.0,19.0,25.0,19.0,40.0,27.0,23.0,18.0,7.0,19.0,17.0,195.0
SLC35A1,14.0,30.0,161.0,50.0,5.0,13.0,15.0,39.0,15.0,63.0,15.0,22.0,11.0,8.0,17.0,328.0
SLC46A1,30.0,33.0,8.0,25.0,6.0,8.0,49.0,19.0,34.0,21.0,10.0,19.0,11.0,13.0,12.0,205.0
SMG7,47.0,50.0,91.0,55.0,57.0,85.0,75.0,83.0,93.0,40.0,77.0,64.0,80.0,70.0,68.0,729.0
SMG9,6.0,16.0,56.0,10.0,0.0,12.0,3.0,6.0,7.0,12.0,20.0,12.0,7.0,3.0,5.0,112.0
SNRPB,22.0,4.0,14.0,17.0,3.0,11.0,11.0,7.0,11.0,11.0,11.0,16.0,12.0,5.0,8.0,146.0
SP3,8.0,33.0,24.0,2.0,9.0,9.0,9.0,22.0,18.0,15.0,3.0,7.0,7.0,5.0,9.0,121.0
SPCS1,5.0,51.0,11.0,11.0,4.0,8.0,11.0,7.0,22.0,11.0,10.0,6.0,5.0,4.0,9.0,137.0
SREBF1,8.0,2.0,15.0,10.0,1.0,7.0,15.0,9.0,22.0,35.0,2.0,10.0,9.0,2.0,6.0,106.0
SRPRB,33.0,33.0,17.0,23.0,15.0,45.0,22.0,46.0,42.0,41.0,37.0,22.0,22.0,21.0,21.0,332.0
SRSF1,57.0,20.0,17.0,44.0,23.0,26.0,35.0,24.0,45.0,19.0,35.0,69.0,49.0,22.0,43.0,443.0
SSR2,18.0,19.0,51.0,19.0,6.0,15.0,21.0,28.0,24.0,82.0,58.0,20.0,70.0,17.0,13.0,310.0
SSR3,11.0,40.0,57.0,26.0,8.0,11.0,42.0,47.0,22.0,96.0,45.0,15.0,16.0,18.0,15.0,317.0
SSR4,7.0,15.0,14.0,5.0,0.0,7.0,15.0,6.0,8.0,62.0,25.0,11.0,7.0,6.0,4.0,129.0
ST3GAL1,42.0,32.0,54.0,29.0,24.0,31.0,45.0,22.0,49.0,13.0,36.0,53.0,37.0,18.0,26.0,402.0
ST3GAL4,10.0,16.0,126.0,29.0,8.0,6.0,14.0,15.0,17.0,42.0,8.0,14.0,13.0,12.0,15.0,234.0
