Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
TARDBP,116.0,58.0,99.0,96.0,61.0,72.0,90.0,68.0,97.0,103.0,107.0,122.0,200.0,71.0,97.0,1157.0
TCERG1,57.0,29.0,87.0,76.0,16.0,24.0,52.0,51.0,62.0,71.0,38.0,43.0,38.0,18.0,40.0,518.0
THAP11,34.0,29.0,71.0,58.0,26.0,37.0,54.0,38.0,101.0,85.0,78.0,80.0,55.0,24.0,25.0,610.0
TIMELESS,121.0,69.0,78.0,87.0,60.0,68.0,73.0,52.0,84.0,56.0,75.0,93.0,91.0,54.0,69.0,928.0
TMED10,89.0,85.0,71.0,75.0,59.0,64.0,90.0,80.0,95.0,90.0,89.0,126.0,75.0,62.0,83.0,926.0
TMED2,102.0,85.0,79.0,83.0,66.0,68.0,93.0,80.0,97.0,89.0,98.0,130.0,72.0,62.0,93.0,973.0
TMEM165,17.0,31.0,22.0,25.0,17.0,17.0,19.0,20.0,26.0,22.0,19.0,24.0,17.0,22.0,36.0,222.0
TMEM201,11.0,24.0,14.0,12.0,3.0,3.0,16.0,13.0,8.0,12.0,14.0,13.0,31.0,12.0,8.0,138.0
TOE1,50.0,12.0,28.0,28.0,10.0,17.0,18.0,27.0,44.0,33.0,30.0,45.0,30.0,30.0,40.0,338.0
TOMM20,21.0,26.0,38.0,22.0,10.0,7.0,15.0,17.0,70.0,14.0,43.0,24.0,32.0,11.0,17.0,260.0
TOMM22,45.0,34.0,44.0,48.0,23.0,41.0,34.0,26.0,38.0,31.0,62.0,57.0,31.0,23.0,30.0,454.0
TOMM40,66.0,49.0,67.0,83.0,39.0,59.0,50.0,39.0,141.0,34.0,66.0,88.0,63.0,43.0,61.0,758.0
TPT1,39.0,20.0,13.0,16.0,6.0,17.0,19.0,15.0,44.0,17.0,23.0,29.0,32.0,5.0,18.0,258.0
TRAM1,3.0,34.0,20.0,5.0,7.0,6.0,15.0,16.0,13.0,14.0,19.0,11.0,10.0,11.0,8.0,132.0
TRAPPC1,101.0,95.0,125.0,146.0,69.0,92.0,97.0,92.0,126.0,75.0,115.0,163.0,129.0,64.0,93.0,1256.0
TRAPPC3,27.0,26.0,63.0,59.0,19.0,33.0,37.0,32.0,54.0,27.0,66.0,73.0,37.0,19.0,25.0,433.0
TRAPPC4,86.0,73.0,105.0,124.0,52.0,71.0,79.0,81.0,107.0,59.0,96.0,139.0,116.0,49.0,76.0,1035.0
TSC1,24.0,12.0,60.0,34.0,17.0,31.0,25.0,19.0,22.0,52.0,40.0,31.0,13.0,18.0,24.0,301.0
TSR1,24.0,5.0,10.0,11.0,6.0,10.0,13.0,15.0,22.0,16.0,16.0,28.0,9.0,11.0,24.0,169.0
TSR2,37.0,19.0,8.0,13.0,11.0,12.0,25.0,33.0,36.0,10.0,23.0,41.0,14.0,9.0,19.0,238.0
TUBB4B,11.0,21.0,17.0,17.0,5.0,20.0,8.0,19.0,14.0,23.0,28.0,20.0,11.0,10.0,12.0,189.0
TXNRD1,11.0,11.0,16.0,26.0,2.0,5.0,9.0,5.0,32.0,7.0,12.0,14.0,13.0,3.0,14.0,148.0
UBA6,38.0,13.0,13.0,21.0,11.0,22.0,12.0,29.0,13.0,15.0,15.0,14.0,42.0,8.0,15.0,207.0
UBAP1,30.0,23.0,25.0,29.0,9.0,11.0,26.0,23.0,40.0,26.0,18.0,34.0,38.0,14.0,31.0,275.0
UBC,3.0,9.0,9.0,9.0,9.0,13.0,7.0,8.0,6.0,11.0,24.0,8.0,6.0,8.0,15.0,104.0
UBE2D3,54.0,68.0,79.0,91.0,43.0,60.0,70.0,63.0,97.0,72.0,77.0,83.0,84.0,55.0,78.0,847.0
UFM1,36.0,41.0,50.0,66.0,16.0,18.0,31.0,41.0,51.0,60.0,16.0,47.0,24.0,50.0,28.0,429.0
UPF3A,28.0,14.0,9.0,4.0,8.0,8.0,28.0,6.0,16.0,15.0,17.0,11.0,13.0,5.0,11.0,143.0
UPF3B,18.0,12.0,4.0,9.0,8.0,26.0,11.0,6.0,30.0,8.0,25.0,13.0,19.0,11.0,13.0,152.0
UQCR10,5.0,7.0,15.0,8.0,7.0,10.0,6.0,4.0,11.0,10.0,16.0,10.0,11.0,15.0,8.0,116.0
UQCRB,64.0,58.0,45.0,58.0,61.0,64.0,79.0,45.0,85.0,32.0,77.0,90.0,36.0,40.0,59.0,662.0
UQCRHL,10.0,8.0,20.0,13.0,3.0,5.0,6.0,15.0,14.0,11.0,24.0,26.0,19.0,12.0,17.0,159.0
UQCRQ,10.0,8.0,12.0,3.0,10.0,4.0,16.0,6.0,52.0,3.0,9.0,8.0,12.0,5.0,11.0,115.0
USP5,21.0,16.0,24.0,22.0,13.0,26.0,18.0,37.0,32.0,25.0,25.0,34.0,24.0,29.0,15.0,275.0
VPS36,18.0,12.0,32.0,19.0,5.0,8.0,20.0,23.0,41.0,54.0,6.0,17.0,14.0,8.0,18.0,200.0
VPS41,30.0,11.0,14.0,22.0,6.0,9.0,17.0,9.0,22.0,22.0,17.0,15.0,19.0,13.0,19.0,162.0
VTA1,23.0,21.0,11.0,23.0,14.0,13.0,14.0,33.0,35.0,9.0,17.0,20.0,11.0,28.0,30.0,234.0
WDR45,5.0,3.0,4.0,14.0,9.0,10.0,6.0,10.0,16.0,1.0,22.0,9.0,6.0,3.0,13.0,107.0
WDR83,61.0,63.0,47.0,66.0,42.0,46.0,89.0,49.0,92.0,69.0,65.0,69.0,54.0,46.0,59.0,664.0
WRAP53,16.0,28.0,28.0,19.0,16.0,20.0,34.0,20.0,26.0,20.0,34.0,21.0,27.0,13.0,21.0,250.0
XPO5,52.0,51.0,31.0,48.0,20.0,44.0,32.0,26.0,53.0,63.0,64.0,45.0,70.0,39.0,34.0,474.0
ZC3H8,12.0,8.0,17.0,8.0,3.0,9.0,13.0,14.0,6.0,11.0,8.0,14.0,12.0,3.0,9.0,104.0
ZC3HC1,9.0,14.0,32.0,10.0,2.0,12.0,12.0,18.0,16.0,19.0,27.0,21.0,7.0,6.0,13.0,161.0
ZNF131,25.0,5.0,14.0,5.0,3.0,2.0,8.0,2.0,22.0,10.0,14.0,18.0,9.0,5.0,8.0,104.0
ZNHIT6,4.0,12.0,9.0,7.0,4.0,5.0,10.0,14.0,10.0,16.0,21.0,13.0,15.0,6.0,17.0,125.0
